,name,gender,time,place,timezone,Rodden Rating,Category
145,"


Abell, George
"," M

","1 March 1927 at 22:50  (= 10:50 PM )
","Los Angeles, California, 34n03,  118w15 
","PST h8w (is standard time)
",AA,"1927 births&Birthday 1 March&Birthplace Los Angeles, CA (US)&Sun 10 Pisces&Moon 19 Aquarius&Asc 14 Scorpio&1983 deaths&Traits : Personality : Bigot&Diagnoses : Body Part Problems : Heart&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Lifestyle : Work : Same Job more than 10 yrs&Vocation : Education : Teacher&Vocation : Science : Astronomy&Vocation : Writers : Textbook/ Non-fiction&Notable : Book Collection : Occult/ Misc. Collection"
146,"


Abell, Sam
"," M

","19 February 1945 at 14:46  (= 2:46 PM )
","Toledo, Ohio, 41n40,  83w33 
","CWT h5w (is war time)
",AA,"1945 births&Birthday 19 February&Birthplace Toledo, OH (US)&Sun 0 Pisces&Moon 6 Gemini&Asc 21 Cancer&Vocation : Art : Photography&Vocation : Writers : How To ...."
147,"


Abellera, Jazper
"," M

","5 September 1989 at 19:02  (= 7:02 PM )
","Santa Clara, California, 37n21,  121w16 
","PDT h7w (is daylight saving time)
",A,"1989 births&Birthday 5 September&Birthplace Santa Clara, CA (US)&Sun 13 Virgo&Moon 17 Scorpio&Asc 5 Pisces&Vocation : Entertainment : Internet personality&Vocation : Writers : Columnist/ journalist&Vocation : Writers : Critic"
148,"


Abellio, Raymond
"," M

","11 November 1907 at 20:00  (= 8:00 PM )
","Toulouse, France, 43n36,  1e26 
","LST m2e2015 (is standard time)
",AA,"1907 births&Birthday 11 November&Birthplace Toulouse, FR&Sun 18 Scorpio&Moon 6 Aquarius&Asc 11 Cancer&Personal : Religion/Spirituality : Philosopher/ Humanist&Vocation : Engineer : Other Engineer&Vocation : Politics : Party Affiliation&Vocation : Writers : Other Writers"
149,"


Abeln, Ludger
"," M

","10 June 1964 at 23:43  (= 11:43 PM )
","Meppen, Germany, 52n41,  7e17 
","MET h1e (is standard time)
",A,"1964 births&Birthday 10 June&Birthplace Meppen, GER&Sun 20 Gemini&Moon 0 Cancer&Asc 10 Aquarius&Vocation : Entertainment : TV host/ Personality"
150,"


Abelé, Edmond
"," M

","4 March 1925 at 15:00  (= 3:00 PM )
","Châlons en Champagne, France, 48n57,  4e22 
","GMT h0e (is standard time)
",AA,"1925 births&Birthday 4 March&Birthplace Châlons en Champagne, FR&Sun 13 Pisces&Moon 6 Cancer&Asc 17 Leo&2017 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Religion : Ecclesiastics/ western"
151,"


Abendroth, Hermann
"," M

","19 January 1883 at 16:30  (= 4:30 PM )
","Frankfurt am Main, Germany, 50n07,  8e40 
","LMT m8e40 (is local mean time)
",AA,"1883 births&Birthday 19 January&Birthplace Frankfurt am Main, GER&Sun 29 Capricorn&Moon 15 Gemini&Asc 0 Leo&1956 deaths&Personal : Death : Illness/ Disease&Vocation : Entertain/Music : Conductor"
152,"


Abendroth, Wolfgang
"," M

","2 May 1906 at 19:00  (= 7:00 PM )
","Wuppertal, Germany, 51n16,  7e11 
","MET h1e (is standard time)
",AA,"1906 births&Birthday 2 May&Birthplace Wuppertal, GER&Sun 11 Taurus&Moon 22 Leo&Asc 3 Scorpio&1985 deaths&Vocation : Education : Teacher&Vocation : Humanities+Social Sciences : Sociologist"
153,"


Abenhaim, Lucien
"," M

","23 July 1951 at 07:15  (= 07:15 AM )
","Casablanca, Morocco, 33n39,  7w35 
","GMT h0e (is standard time)
",AA,"1951 births&Birthday 23 July&Birthplace Casablanca, MOR&Sun 29 Cancer&Moon 29 Pisces&Asc 19 Leo&Vocation : Medical : Pharmacist"
154,"


Aber, Al
"," M

","31 July 1927 at 21:00  (= 9:00 PM )
","Cleveland, Ohio, 41n30,  81w42 
","EST h5w (is standard time)
",AA,"1927 births&Birthday 31 July&Birthplace Cleveland, OH (US)&Sun 7 Leo&Moon 16 Virgo&Asc 7 Pisces&Lifestyle : Work : Travel for work&Vocation : Sports : Baseball"
155,"


Abernathy, Aaron
"," M

","31 October 1990 at 00:07  (= 12:07 AM )
","Los Angeles, USA, 34n04,  118w15 
","PST h8w (is standard time)
",A,"1990 births&Birthday 31 October&Birthplace Los Angeles, CA (US)&Sun 7 Scorpio&Moon 2 Aries&Asc 20 Leo&1991 deaths&Passions : Criminal Victim : Assault/ Battery victim&Personal : Death : Unusual&Notable : Book Collection : Crime Collection"
156,"


Abernathy, Ralph
"," M

","11 March 1926 at 02:15  (= 02:15 AM )
","Linden, Alabama, 32n18,  87w48 
","CST h6w (is standard time)
",AA,"1926 births&Birthday 11 March&Birthplace Linden, AL (US)&Sun 20 Pisces&Moon 10 Aquarius&Asc 7 Capricorn&1990 deaths&Traits : Body : Race&Traits : Personality : Principled strongly&Diagnoses : Major Diseases : Stroke&Diagnoses : Body Part Problems : Brain&Family : Childhood : Family large&Family : Relationship : Number of Marriages&Family : Parenting : Kids more than 3&Lifestyle : Home : Property damage&Passions : Criminal Perpetrator : Civil/ Political&Passions : Criminal Perpetrator : Prison sentence&Vocation : Politics : Activist/ political&Vocation : Religion : Ecclesiastics/ western&Vocation : Writers : Biographer"
157,"


Abernathy, Tom
"," M

","6 May 1954
","South Bend, Indiana, 41n41,  86w15 
","CDT h5w (is daylight saving time)
",X,"1954 births&Birthday 6 May&Birthplace South Bend, IN (US)&Sun 15 Taurus&Vocation : Sports : Basketball"
158,"


Abernethy, Virginia
"," F

","4 October 1934 at 10:30  (= 10:30 AM )
","Havana, Cuba, 23n08,  82w22 
","CST h5w (is standard time)
",AA,"1934 births&Birthday 4 October&Birthplace Havana, CUBA&Sun 10 Libra&Moon 25 Leo&Asc 5 Sagittarius&Traits : Mind : Education extensive&Lifestyle : Home : Expatriate&Vocation : Education : Administrator&Vocation : Education : Researcher&Vocation : Education : Teacher&Vocation : Humanities+Social Sciences : Ethnologist&Vocation : Politics : Activist/ political&Vocation : Politics : Activist/ social&Vocation : Politics : Candidate and lost&Vocation : Politics : Party Affiliation&Vocation : Writers : Publisher/ Editor&Vocation : Writers : Textbook/ Non-fiction"
159,"


Abert, Hermann
"," M

","25 March 1871 at 03:00  (= 03:00 AM )
","Stuttgart, Germany, 48n46,  9e11 
","LMT m9e11 (is local mean time)
",AA,"1871 births&Birthday 25 March&Birthplace Stuttgart, GER&Sun 4 Aries&Moon 18 Taurus&Asc 17 Capricorn&1927 deaths&Traits : Mind : Education extensive&Vocation : Education : Teacher&Vocation : Humanities+Social Sciences : Historian&Vocation : Writers : Biographer&Vocation : Writers : Textbook/ Non-fiction"
160,"


Abescat, Raymond
"," M

","10 September 1891 at 06:00  (= 06:00 AM )
","Paris, France, 48n52,  2e20 
","PMT m2e2015 (is standard time)
",AA,"1891 births&Birthday 10 September&Birthplace Paris, FR&Sun 17 Virgo&Moon 3 Sagittarius&Asc 21 Virgo&2001 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Military : Combat&Vocation : Military : Military service"
161,"


Abete, Luigi
"," M

","17 February 1947 at 07:20  (= 07:20 AM )
","Rome, Italy, 41n54,  12e29 
","MET h1e (is standard time)
",AA,"1947 births&Birthday 17 February&Birthplace Rome, ITALY&Sun 27 Aquarius&Moon 14 Capricorn&Asc 2 Pisces&Family : Parenting : Kids 1-3&Lifestyle : Social Life : Sports&Vocation : Business : Top executive&Vocation : Law : Attorney"
162,"


Abetti, Giorgio
"," M

","5 October 1882 at 16:00  (= 4:00 PM )
","Padova, Italy, 45n25,  11e53 
","LST m12e29 (is standard time)
",AA,"1882 births&Birthday 5 October&Birthplace Padova, ITALY&Sun 12 Libra&Moon 29 Cancer&Asc 29 Aquarius&1982 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Science : Astronomy"
163,"


Abetz, Otto Friedrich
"," M

","26 March 1903 at 09:00  (= 09:00 AM )
","Schwetzingen, Germany, 49n23,  8e34 
","MET h1e (is standard time)
",AA,"1903 births&Birthday 26 March&Birthplace Schwetzingen, GER&Sun 4 Aries&Moon 2 Pisces&Asc 11 Gemini&1958 deaths&Traits : Personality : Bigot&Diagnoses : Body Part Problems : Accident/Injury&Passions : Criminal Perpetrator : Homicide by order&Passions : Criminal Perpetrator : Torturer/ Sadist&Personal : Death : Accidental&Vocation : Education : Teacher&Vocation : Politics : Nazi party&Vocation : Politics : Public office&Notable : Book Collection : Crime Collection"
164,"


Abgrall, Jean-François
"," M

","20 March 1959 at 20:00  (= 8:00 PM )
","Cormeilles en Parisis, France, 48n59,  2e12 
","MET h1e (is standard time)
",AA,"Pages with broken file links&1959 births&Birthday 20 March&Birthplace Cormeilles en Parisis, FR&Sun 29 Pisces&Moon 6 Leo&Asc 10 Libra&Vocation : Law : Private Investigator&Vocation : Law : Police"
165,"


Abgrall, Jean-François
"," M

","20 March 1959 at 20:00  (= 8:00 PM )
","Cormeilles en Parisis, France, 48n59,  2e12 
","MET h1e (is standard time)
",AA,"Pages with broken file links&1959 births&Birthday 20 March&Birthplace Cormeilles en Parisis, FR&Sun 29 Pisces&Moon 6 Leo&Asc 10 Libra&Vocation : Law : Private Investigator&Vocation : Law : Police"
166,"


Abhisheki, Shounak
"," M

","28 April 1970 at 13:00  (= 1:00 PM )
","Mangeshi, India, 15n2648,  73e5812 
","IST h5e30 (is standard time)
",A,"1970 births&Birthday 28 April&Birthplace Mangeshi, INDIA&Sun 7 Taurus&Moon 2 Aquarius&Asc 14 Leo&Vocation : Entertain/Music : Composer/ Arranger&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
167,"


Abidal, Éric
"," M

","11 September 1979 at 18:25  (= 6:25 PM )
","Lyon, France, 45n45,  4e51 
","MEDT h2e (is daylight saving time)
",AA,"1979 births&Birthday 11 September&Birthplace Lyon, FR&Sun 18 Virgo&Moon 29 Taurus&Asc 9 Aquarius&Diagnoses : Body Part Problems : Liver/Pancreas/Spleen&Vocation : Sports : Soccer"
168,"


Abidal, Éric
"," M

","11 September 1979 at 18:25  (= 6:25 PM )
","Lyon, France, 45n45,  4e51 
","MEDT h2e (is daylight saving time)
",AA,"1979 births&Birthday 11 September&Birthplace Lyon, FR&Sun 18 Virgo&Moon 29 Taurus&Asc 9 Aquarius&Diagnoses : Body Part Problems : Liver/Pancreas/Spleen&Vocation : Sports : Soccer"
169,"


Abigail, Cantika
"," F

","12 July 1993 at 11:30  (= 11:30 AM )
","Jakarta, Indonesia, 6s10,  106e48 
","SST h7e (is standard time)
",C,"1993 births&Birthday 12 July&Birthplace Jakarta, INDSA&Sun 19 Cancer&Moon 22 Aries&Asc 16 Libra&Vocation : Entertain/Music : Group/ Duo&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Notable : Awards : Grammy"
170,"


Abitbol, David
"," M

","9 October 1964 at 01:30  (= 01:30 AM )
","Rehovot, Israel, 31n54,  34e49 
","EET h2e (is standard time)
",A,"1964 births&Birthday 9 October&Birthplace Rehovot, ISRL&Sun 15 Libra&Moon 24 Scorpio&Asc 21 Leo&Vocation : Art : Commercial artist&Vocation : Entertainment : Internet personality&Vocation : Writers : Columnist/ journalist&Vocation : Writers : Publisher/ Editor"
171,"


Abitbol, Marc
"," M

","12 October 1957
","Meknès, Morocco, 33n53,  5w37 
","GMT h0e (is standard time)
",AA,"1957 births&Birthday 12 October&Birthplace Meknès, MOR&Sun 18 Libra&Vocation : Education : Researcher"
172,"


Abitbol, Sarah
"," F

","8 June 1975 at 17:00  (= 5:00 PM )
","Nantes, France, 47n13,  1w33 
","MET h1e (is standard time)
",AA,"1975 births&Birthday 8 June&Birthplace Nantes, FR&Sun 17 Gemini&Moon 3 Gemini&Asc 3 Scorpio&Diagnoses : Body Part Problems : Accident/Injury&Vocation : Sports : Skating&Vocation : Writers : Autobiographer&Notable : Awards : Medals"
173,"


Abittan, Ary
"," M

","31 January 1974 at 12:40  (= 12:40 PM )
","Paris, France, 48n52,  2e20 
","MET h1e (is standard time)
",AA,"1974 births&Birthday 31 January&Birthplace Paris, FR&Sun 11 Aquarius&Moon 13 Taurus&Asc 6 Gemini&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : Comedy"
174,"


Aboucassem, Albert
"," M

","3 July 1930 at 22:30  (= 10:30 PM )
","Alexandria, Egypt, 31n12,  29e54 
","EET h2e (is standard time)
",A,"1930 births&Birthday 3 July&Birthplace Alexandria, EGYPT&Sun 11 Cancer&Moon 19 Libra&Asc 13 Pisces&2012 deaths&Vocation : Occult Fields : Astrologer&Vocation : Writers : Astrology"
175,"


Aboud, Paula
"," F

","20 March 1950 at 10:07  (= 10:07 AM )
","Tucson, Arizona, 32n13,  110w56 
","MST h7w (is standard time)
",A,"1950 births&Birthday 20 March&Birthplace Tucson, AZ (US)&Sun 29 Pisces&Moon 22 Aries&Asc 9 Gemini&Passions : Sexuality : Lesbian&Vocation : Business : Middle Management&Vocation : Business/Marketing : Real estate&Vocation : Education : Teacher&Vocation : Politics : Activist/ political&Vocation : Politics : Party Affiliation&Vocation : Politics : Public office&Vocation : Sports Business : Coach/ Manager/ Owner"
176,"


Aboulhosn, Nadia
"," F

","13 September 1988 at 12:28  (= 12:28 PM )
","Orlando, Florida, 28n32,  81w23 
","EDT h4w (is daylight saving time)
",A,"1988 births&Birthday 13 September&Birthplace Orlando, FL (US)&Sun 21 Virgo&Moon 18 Libra&Asc 29 Scorpio&Traits : Body : Appearance gorgeous&Traits : Body : Race&Traits : Body : Size&Vocation : Beauty : Designer/ Fashion&Vocation : Beauty : Model&Vocation : Writers : Columnist/ journalist"
177,"


Aboulker, Célestine
"," F

","26 December 1874 at 14:00  (= 2:00 PM )
","Algiers, Algeria, 36n47,  3e03 
","LMT m3e03 (is local mean time)
",AA,"1874 births&Birthday 26 December&Birthplace Algiers, ALG&Sun 4 Capricorn&Moon 18 Leo&Asc 21 Taurus&Family : Childhood : Family noted&Family : Parenting : Kids - Noted&Vocation : Art : Fine art artist"
178,"


Aboulker, José
"," M

","5 March 1920 at 04:00  (= 04:00 AM )
","Algiers, Algeria, 36n47,  3e03 
","GDT h1e (is daylight saving time)
",AA,"1920 births&Birthday 5 March&Birthplace Algiers, ALG&Sun 14 Pisces&Moon 17 Virgo&Asc 11 Capricorn&2009 deaths&Vocation : Medical : Surgeon&Vocation : Military : Honors&Vocation : Politics : Other Politics&Notable : Awards : Other Awards"
179,"


Aboulker, José
"," M

","5 March 1920 at 04:00  (= 04:00 AM )
","Algiers, Algeria, 36n47,  3e03 
","GDT h1e (is daylight saving time)
",AA,"1920 births&Birthday 5 March&Birthplace Algiers, ALG&Sun 14 Pisces&Moon 17 Virgo&Asc 11 Capricorn&2009 deaths&Vocation : Medical : Surgeon&Vocation : Military : Honors&Vocation : Politics : Other Politics&Notable : Awards : Other Awards"
180,"


Aboulker-Muscat, Colette Béatrice
"," F

","28 January 1909 at 11:00  (= 11:00 AM )
","Algiers, Algeria, 36n47,  3e03 
","PMT m2e2015 (is standard time)
",AA,"1909 births&Birthday 28 January&Birthplace Algiers, ALG&Sun 7 Aquarius&Moon 5 Taurus&Asc 5 Taurus&2003 deaths&Traits : Mind : Education extensive&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Lifestyle : Home : Expatriate&Personal : Death : Long life more than 80 yrs&Vocation : Education : Teacher&Vocation : Healing Fields : Alternative methods&Vocation : Healing Fields : Psychologist&Vocation : Law : Spy/ Counter agent&Vocation : Military : Honors&Vocation : Occult Fields : Other Occult Fields&Vocation : Writers : Poet&Notable : Awards : Public Service"
181,"


Abourezk, James G.
"," M

","24 February 1931 at 22:00  (= 10:00 PM )
","Wood, South Dakota, 43n30,  100w29 
","MST h7w (is standard time)
",AA,"1931 births&Birthday 24 February&Birthplace Wood, SD (US)&Sun 5 Pisces&Moon 29 Taurus&Asc 29 Libra&2023 deaths&Family : Relationship : Number of Divorces&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Personal : Death : Long life more than 80 yrs&Vocation : Law : Attorney&Vocation : Military : Military service&Vocation : Politics : Party Affiliation&Vocation : Politics : Public office"
182,"


About, Edmond Françoise
"," M

","14 February 1828 at 23:00  (= 11:00 PM )
","Dieuze, France, 48n49,  6e43 
","LMT m6e43 (is local mean time)
",AA,"1828 births&Birthday 14 February&Birthplace Dieuze, FR&Sun 25 Aquarius&Moon 18 Aquarius&Asc 28 Libra&1885 deaths&Vocation : Writers : Fiction&Vocation : Writers : Textbook/ Non-fiction"
183,"


About, Jean-Pierre
"," M

","19 October 1942 at 13:30  (= 1:30 PM )
","Tunis, Tunisia, 36n48,  10e11 
","MEDT h2e (is daylight saving time)
",AA,"1942 births&Birthday 19 October&Birthplace Tunis, TUN&Sun 25 Libra&Moon 27 Aquarius&Asc 10 Capricorn&Vocation : Entertain/Business : Director&Vocation : Writers : Columnist/ journalist"
184,"


Abra
"," F

","30 March 1989 at 09:00  (= 09:00 AM )
","New York, New York, 40n43,  74w00 
","EST h5w (is standard time)
",C,"1989 births&Birthday 30 March&Birthplace New York, NY (US)&Sun 9 Aries&Moon 11 Capricorn&Asc 16 Gemini&Traits : Body : Race&Lifestyle : Home : Expatriate&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Vocation : Entertain/Business : Entertain Producer"
185,"


Abraham, Erich
"," M

","27 March 1895 at 13:00  (= 1:00 PM )
","Marienburg, Poland, 54n02,  19e01 
","MET h1e (is standard time)
",AA,"1895 births&Birthday 27 March&Birthplace Marienburg, POL&Sun 6 Aries&Moon 18 Aries&Asc 15 Leo&1971 deaths&Vocation : Law : Police&Vocation : Military : Honors&Vocation : Military : Military career&Vocation : Military : POW/ MIA"
186,"


Abraham, Karl
"," M

","3 May 1877 at 01:30  (= 01:30 AM )
","Bremen, Germany, 53n04,  8e49 
","LMT m8e49 (is local mean time)
",AA,"1877 births&Birthday 3 May&Birthplace Bremen, GER&Sun 12 Taurus&Moon 16 Capricorn&Asc 3 Aquarius&1925 deaths&Vocation : Education : Administrator&Vocation : Healing Fields : Psychiatrist"
187,"


Abraham, Malouf Jr.
"," M

","29 March 1939 at 05:00  (= 05:00 AM )
","Canadian, Texas, 35n55,  100w23 
","CST h6w (is standard time)
",A,"1939 births&Birthday 29 March&Birthplace Canadian, TX (US)&Sun 7 Aries&Moon 20 Cancer&Asc 0 Pisces&Family : Childhood : Family noted&Family : Parenting : Kids 1-3&Lifestyle : Financial : Invest/ Collectibles&Lifestyle : Financial : Invest/ Property&Lifestyle : Financial : Philanthropist&Lifestyle : Financial : Wealthy&Vocation : Medical : Physician&Vocation : Military : Honors&Vocation : Politics : Party Affiliation"
188,"


Abraham, Sophia
"," F

","23 February 2009 at 10:25  (= 10:25 AM )
","Los Angeles, California, 34n03,  118w15 
","PST h8w (is standard time)
",B,"2009 births&Birthday 23 February&Birthplace Los Angeles, CA (US)&Sun 5 Pisces&Moon 20 Aquarius&Asc 28 Taurus&Traits : Body : Race&Family : Childhood : Family noted&Family : Childhood : Family traumatic event&Vocation : Entertainment : Child performer&Vocation : Entertainment : Internet personality"
189,"


Abraham, Sylvie
"," F

","18 April 1954 at 18:35  (= 6:35 PM )
","Paris, France, 48n52,  2e20 
","MET h1e (is standard time)
",AA,"1954 births&Birthday 18 April&Birthplace Paris, FR&Sun 28 Aries&Moon 3 Scorpio&Asc 16 Libra&Vocation : Medical : Surgeon"
190,"


Abrahams, Jim S.
"," M

","10 May 1944 at 21:55  (= 9:55 PM )
","Milwaukee, Wisconsin, 43n02,  87w54 
","CWT h5w (is war time)
",AA,"1944 births&Birthday 10 May&Birthplace Milwaukee, WI (US)&Sun 20 Taurus&Moon 24 Sagittarius&Asc 13 Sagittarius&Traits : Personality : Humorous, Witty&Lifestyle : Home : Property damage&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Business : Director&Vocation : Entertain/Business : Entertain Producer&Vocation : Writers : Humor&Vocation : Writers : Playwright/ script"
191,"


Abrahamsen, Bjørg
"," F

","25 February 1931 at 12:50  (= 12:50 PM )
","Oslo, Norway, 59n55,  10e45 
","CET h1e (is standard time)
",AA,"1931 births&Birthday 25 February&Birthplace Oslo, NOR&Sun 5 Pisces&Moon 3 Gemini&Asc 23 Cancer&1992 deaths&Vocation : Art : Commercial artist&Notable : Awards : Vocational award"
192,"


Abrahamsen, Bjørg
"," F

","25 February 1931 at 12:50  (= 12:50 PM )
","Oslo, Norway, 59n55,  10e45 
","CET h1e (is standard time)
",AA,"1931 births&Birthday 25 February&Birthplace Oslo, NOR&Sun 5 Pisces&Moon 3 Gemini&Asc 23 Cancer&1992 deaths&Vocation : Art : Commercial artist&Notable : Awards : Vocational award"
193,"


Abrahão, Sophia
"," F

","22 May 1991 at 21:15  (= 9:15 PM )
","São Paulo, Brazil, 23s3251,  46w3810 
","BZT h3w (is standard time)
",A,"1991 births&Birthday 22 May&Birthplace São Paulo, BRAS&Sun 1 Gemini&Moon 28 Virgo&Asc 24 Capricorn&Traits : Body : Appearance gorgeous&Traits : Body : Hair&Vocation : Beauty : Model&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : TV series/ Soap star&Vocation : Entertain/Music : Dancer/ Teacher&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Vocation : Writers : Columnist/ journalist"
194,"


Abrahm, Lorraine
"," F

","3 August 1938 at 23:55  (= 11:55 PM )
","New York, New York, 40n43,  74w0 
","EDT h4w (is daylight saving time)
",A,"1938 births&Birthday 3 August&Birthplace New York, NY (US)&Sun 11 Leo&Moon 23 Scorpio&Asc 13 Taurus&Vocation : Law : Attorney&Notable : Book Collection : Profiles Of Women"
195,"


Abrahão, Miguel M.
"," M

","25 January 1961 at 23:59  (= 11:59 PM )
","São Paulo, Brazil, 23s3309,  46w3729 
","-03 h3w (is standard time)
",AA,"1961 births&Birthday 25 January&Birthplace São Paulo, BRAS&Sun 5 Aquarius&Moon 4 Gemini&Asc 12 Scorpio&Vocation : Education : Teacher&Vocation : Writers : Children's literature&Vocation : Writers : Fiction&Vocation : Writers : Playwright/ script&Vocation : Writers : Textbook/ Non-fiction"
196,"


Abrahão, Sophia
"," F

","22 May 1991 at 21:15  (= 9:15 PM )
","São Paulo, Brazil, 23s3251,  46w3810 
","BZT h3w (is standard time)
",A,"1991 births&Birthday 22 May&Birthplace São Paulo, BRAS&Sun 1 Gemini&Moon 28 Virgo&Asc 24 Capricorn&Traits : Body : Appearance gorgeous&Traits : Body : Hair&Vocation : Beauty : Model&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : TV series/ Soap star&Vocation : Entertain/Music : Dancer/ Teacher&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Vocation : Writers : Columnist/ journalist"
197,"


Abramo, Barbara
"," F

","20 January 1954 at 01:03  (= 01:03 AM )
","São Paulo, Brazil, 23s3309,  46w3729 
","BZT h3w (is standard time)
",AA,"1954 births&Birthday 20 January&Birthplace São Paulo, BRAS&Sun 29 Capricorn&Moon 12 Leo&Asc 24 Scorpio&Vocation : Occult Fields : Astrologer&Vocation : Writers : Astrology"
198,"


Abramoff, Jack
"," M

","28 February 1959
","Atlantic City, New Jersey, 39n22,  74w25 
","EST h5w (is standard time)
",XX,"1959 births&Birthday 28 February&Birthplace Atlantic City, NJ (US)&Sun 9 Pisces&Passions : Criminal Perpetrator : Thief/ Financial crime&Vocation : Law : Attorney&Vocation : Politics : Party Affiliation"
199,"


Abramovic, John
"," M

","9 February 1919
","Etna, Pennsylvania, 40n30,  79w57 
","EST h5w (is standard time)
",X,"1919 births&Birthday 9 February&Birthplace Etna, PA (US)&Sun 19 Aquarius&Vocation : Sports : Basketball"
200,"


Abramović, Marina
"," F

","30 November 1946 at 19:15  (= 7:15 PM )
","Belgrado, Serbia, 44n50,  20e30 
","MET h1e (is standard time)
",A,"1946 births&Birthday 30 November&Birthplace Belgrado, RS&Sun 7 Sagittarius&Moon 24 Aquarius&Asc 24 Cancer&Family : Childhood : Memories Bad&Personal : Birth : Difficult birth&Personal : Birth : Premature&Vocation : Art : Other Art&Vocation : Politics : Activist/ feminist&Notable : Famous : First in Field"
201,"


Abramowicz, Danny
"," M

","13 July 1945 at 09:16  (= 09:16 AM )
","Steubenville, Ohio, 40n22,  80w38 
","EWT h4w (is war time)
",AA,"1945 births&Birthday 13 July&Birthplace Steubenville, OH (US)&Sun 20 Cancer&Moon 9 Virgo&Asc 27 Leo&Traits : Body : Size&Traits : Body : Weight&Family : Relationship : Marriage more than 15 Yrs&Family : Parenting : Kids 1-3&Personal : Religion/Spirituality : Western&Vocation : Entertainment : News journalist/ Anchor&Vocation : Entertainment : TV host/ Personality&Vocation : Sports : Football&Vocation : Sports Business : Coach/ Manager/ Owner&Notable : Awards : Hall of Fame&Notable : Famous : Top 5% of Profession"
202,"


Abrams, Georgie
"," M

","11 November 1918 at 00:40  (= 12:40 AM )
","Roanoke, Virginia, 37n16,  79w57 
","EST h5w (is standard time)
",AA,"1918 births&Birthday 11 November&Birthplace Roanoke, VA (US)&Sun 18 Scorpio&Moon 12 Aquarius&Asc 1 Virgo&1994 deaths&Traits : Body : Constitution hardy&Traits : Body : Size&Diagnoses : Major Diseases : Stroke&Vocation : Sports : Boxing&Notable : Awards : Hall of Fame"
203,"


Abrams, Griff
"," M

","25 January 1880 at 05:58  (= 05:58 AM )
","Swansea, Wales, 51n38,  3w57 
","GMT h0e (is standard time)
",A,"1880 births&Birthday 25 January&Birthplace Swansea, WALES (UK)&Sun 4 Aquarius&Moon 9 Cancer&Asc 26 Sagittarius&1947 deaths&Lifestyle : Home : Expatriate&Vocation : Occult Fields : Astrologer&Vocation : Writers : Publisher/ Editor"
204,"


Abrams, Sil Lai
"," F

","13 July 1970 at 01:05  (= 01:05 AM )
","Wailuku, Hawaii, 20n53,  156w30 
","AHST h10w (is standard time)
",AA,"1970 births&Birthday 13 July&Birthplace Wailuku, HI (US)&Sun 20 Cancer&Moon 9 Scorpio&Asc 8 Taurus&Traits : Body : Appearance gorgeous&Traits : Body : Race&Diagnoses : Psychological : Abuse Alcohol&Family : Childhood : Parents divorced&Family : Parenting : Kids 1-3&Passions : Criminal Victim : Assault/ Battery victim&Passions : Criminal Victim : Rape/ Sex crime victim&Personal : Religion/Spirituality : Other Rel/Spirituality&Vocation : Beauty : Model&Vocation : Education : Public speaker&Vocation : Politics : Activist/ social&Vocation : Writers : Columnist/ journalist"
205,"


Abrams, Stacey
"," F

","9 December 1973 at 16:44  (= 4:44 PM )
","Madison, Wisconsin, 43n04,  89w24 
","CST h6w (is standard time)
",AA,"1973 births&Birthday 9 December&Birthplace Madison, WI (US)&Sun 17 Sagittarius&Moon 16 Gemini&Asc 24 Gemini&Vocation : Law : Attorney&Vocation : Politics : Activist/ political&Vocation : Politics : Activist/ social&Vocation : Writers : Fiction&Vocation : Writers : Textbook/ Non-fiction"
206,"


Abramson, H. Norman
"," M

","4 March 1926 at 00:15  (= 12:15 AM )
","San Antonio, Texas, 29n25,  98w30 
","CST h6w (is standard time)
",AA,"1926 births&Birthday 4 March&Birthplace San Antonio, TX (US)&Sun 12 Pisces&Moon 4 Scorpio&Asc 27 Scorpio&2022 deaths&Traits : Mind : Education extensive&Personal : Death : Long life more than 80 yrs&Vocation : Education : Researcher&Vocation : Engineer : Mechanical"
207,"


Abramson, Hilary
"," F

","28 May 1945 at 23:25  (= 11:25 PM )
","Carlton Hill, USA, 40n51,  74w07 
","EWT h4w (is war time)
",AA,"1945 births&Birthday 28 May&Birthplace Carlton Hill, NJ (US)&Sun 7 Gemini&Moon 1 Capricorn&Asc 21 Capricorn&Vocation : Business/Marketing : Public relations&Vocation : Writers : Columnist/ journalist"
